Title,New_Category,category_real
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Books > Literature & Fiction > Genre Fiction,Fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Kindle Store > Kindle eBooks > History,History
"Starving Hearts (Triangular Trade Trilogy, #1)",Books > Religion & Spirituality > Christian Books & Bibles,"Religion, Spirituality, Christian"
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Books > History > Americas,History
Aladdin and His Wonderful Lamp,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Penny Maybe,Books > Children's Books > Growing Up & Facts of Life,Children's
Maude (1883-1993):She Grew Up with the country,Kindle Store > Kindle eBooks > Biographies & Memoirs,Biographies
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Books > Business & Money > Business Development & Entrepreneurship,Business
Soul Reader,,
Bossypants,Kindle Store > Kindle eBooks > Biographies & Memoirs,Biographies
A World of Flavor: Your Gluten Free Passport,,
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations","Books > Health, Fitness & Dieting > Alternative Medicine",Health
Tracing Numbers on a Train,Books > Children's Books > Education & Reference,Children's
Thirteen Reasons Why,Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
The Secret (The Secret #1),Books > Religion & Spirituality > New Age & Spirituality,"Religion, Spirituality"
The Psychopath Test: A Journey Through the Madness Industry,Books > Biographies & Memoirs > Professionals & Academics,"Biographies, Academic"
The Kite Runner,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Girl on the Train,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Mystery, Thriller, Suspense"
The Emerald Mystery,Books > Teen & Young Adult > Literature & Fiction,"Fiction, Young Adult"
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Kindle Store > Kindle Short Reads > Two hours or more (65-100 pages),
The Art of War,Books > Politics & Social Sciences > Philosophy,"Philosophy, Science, Politics"
Secrets and Lace (Fatal Hearts #1),"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Mystery, Thriller, Suspense"
Romero and Juliet: A Tragic Tale of Love and Zombies,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Books > Arts & Photography > Drawing,Art
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),Kindle Store > Kindle eBooks > Teen & Young Adult,Young Adult
Large Print Heart of the Pride,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Grumbles,Books > Children's Books > Literature & Fiction,"Fiction, Children's"
First Steps for New Christians (Print Edition),,
Eureka Trivia 6.0,Kindle Store > Kindle eBooks > Reference,
Drive: The Surprising Truth About What Motivates Us,Books > Business & Money > Business Culture,Business
Done Rubbed Out (Reightman & Bailey #1),Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
Beauty Restored (Riley Family Legacy Novellas #3),,
Ayumi's Violin,Books > Education & Teaching > Schools & Teaching,
Anonymous,,
Amy Meets the Saints and Sages,Books > Religion & Spirituality,"Religion, Spirituality"
Amatus,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
V for Vendetta (V for Vendetta Complete),,
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Kindle Store > Kindle eBooks > Biographies & Memoirs,Biographies
The Wright Brothers,Kindle Store > Kindle eBooks > History,History
The Songs of the Gods,Books > Literature & Fiction > Poetry,"Fiction, Poetry"
The Rosie Project (Don Tillman #1),Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
The Power of Habit: Why We Do What We Do in Life and Business,"Books > Health, Fitness & Dieting > Psychology & Counseling","Psychology, Health"
Steve Jobs,Kindle Store > Kindle eBooks > Biographies & Memoirs,Biographies
Luckiest Girl Alive,Kindle Store > Kindle eBooks > Literature & Fiction,Fiction
